id_curso,nome_curso,programa,publico_alvo
343,Planejamento da Contratação de Soluções de TIC,"Fundamentos de TI, Dados e IA para Gestores de TIC",Gestores de TIC
629,Aprendendo com Python,"Fundamentos de TI, Dados e IA para Gestores de TIC",Gestores de TIC
787,Gestão de projetos,"Fundamentos de TI, Dados e IA para Gestores de TIC",Gestores de TIC
802,Visualização de Dados Aplicada à Transformação Digital,"Fundamentos de TI, Dados e IA para Gestores de TIC",Gestores de TIC
956,Inovando na Gestão de Projetos,"Fundamentos de TI, Dados e IA para Gestores de TIC",Gestores de TIC
976,Introdução à Ciência de Dados - Conceitos e Ferramentas,"Fundamentos de TI, Dados e IA para Gestores de TIC",Gestores de TIC
1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,"Fundamentos de TI, Dados e IA para Gestores de TIC",Gestores de TIC
1090,Ética em IA,"Fundamentos de TI, Dados e IA para Gestores de TIC",Gestores de TIC
1153,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls,"Fundamentos de TI, Dados e IA para Gestores de TIC",Gestores de TIC
1304,Visão Geral da IA no Azure,"Fundamentos de TI, Dados e IA para Gestores de TIC",Gestores de TIC
1305,Fundamentos da Visão Computacional - IA do Azure,"Fundamentos de TI, Dados e IA para Gestores de TIC",Gestores de TIC
1328,Processamento de Linguagem Natural,"Fundamentos de TI, Dados e IA para Gestores de TIC",Gestores de TIC
343,Planejamento da Contratação de Soluções de TIC,Gestão Estratégica de Tecnologia para Gestores de TIC,Gestores de TIC
787,Gestão de projetos,Gestão Estratégica de Tecnologia para Gestores de TIC,Gestores de TIC
