ano_mes,id_curso,tx_nome_curso,count
2024-11,1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,47
2024-11,1088,A História da IA,174
2024-11,1090,Ética em IA,198
2024-11,1091,Inteligência Artificial Generativa,309
2024-11,1139,Colaboração com o Microsoft 365,35
2024-11,1153,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls,50
2024-11,1167,IA Generativo da Microsoft - Copilot,211
2024-11,1263,Governo Data-Driven: transformação orientada por dados em governos,12
2024-12,107,Planejamento Estratégico para Organizações Públicas,81
2024-12,153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,112
2024-12,270,Governança de Dados,58
2024-12,290,Proteção de Dados Pessoais no Setor Público,107
2024-12,343,Planejamento da Contratação de Soluções de TIC,9
2024-12,367,Novas Tecnologias para a Transformação Digital,147
2024-12,373,Liderança e Gestão De Equipes,275
2024-12,377,Inteligência Artificial no Contexto do Serviço Público,227
2024-12,406,Análise de dados como suporte à tomada de decisão,75
2024-12,419,Transformação Digital no Serviço Público,50
2024-12,529,"Como implementar a LGPD: bases, mecanismos e processos",83
2024-12,534,Internet das coisas (IoT) aplicada para resolução de desafios,68
2024-12,536,Governança de Dados na Transformação Digital,36
2024-12,629,Aprendendo com Python,38
2024-12,724,Gestão de Riscos em Projetos de Transformação Digital,14
2024-12,787,Gestão de projetos,70
2024-12,797,Automação de Processos através da RPA para Transformação Digital,25
2024-12,802,Visualização de Dados Aplicada à Transformação Digital,30
2024-12,810,Desvendando a Inteligência Artificial na Administração Pública,357
2024-12,815,Storytelling com Dados para Comunicação Profissional de Sucesso,63
2024-12,861,Inteligência Artificial para simplificar o dia a dia,211
2024-12,956,Inovando na Gestão de Projetos,89
2024-12,976,Introdução à Ciência de Dados - Conceitos e Ferramentas,47
2024-12,1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,37
2024-12,1088,A História da IA,155
2024-12,1090,Ética em IA,194
2024-12,1091,Inteligência Artificial Generativa,203
2024-12,1139,Colaboração com o Microsoft 365,40
2024-12,1153,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls,56
2024-12,1167,IA Generativo da Microsoft - Copilot,158
2024-12,1263,Governo Data-Driven: transformação orientada por dados em governos,23
2024-12,1304,Visão Geral da IA no Azure,8
2024-12,1305,Fundamentos da Visão Computacional - IA do Azure,11
2025-01,107,Planejamento Estratégico para Organizações Públicas,119
2025-01,153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,163
2025-01,270,Governança de Dados,98
2025-01,290,Proteção de Dados Pessoais no Setor Público,166
2025-01,343,Planejamento da Contratação de Soluções de TIC,16
2025-01,367,Novas Tecnologias para a Transformação Digital,201
2025-01,373,Liderança e Gestão De Equipes,392
2025-01,377,Inteligência Artificial no Contexto do Serviço Público,411
2025-01,406,Análise de dados como suporte à tomada de decisão,125
2025-01,419,Transformação Digital no Serviço Público,51
2025-01,529,"Como implementar a LGPD: bases, mecanismos e processos",135
2025-01,534,Internet das coisas (IoT) aplicada para resolução de desafios,107
2025-01,536,Governança de Dados na Transformação Digital,45
2025-01,629,Aprendendo com Python,66
2025-01,724,Gestão de Riscos em Projetos de Transformação Digital,39
2025-01,787,Gestão de projetos,70
2025-01,797,Automação de Processos através da RPA para Transformação Digital,30
2025-01,802,Visualização de Dados Aplicada à Transformação Digital,31
2025-01,810,Desvendando a Inteligência Artificial na Administração Pública,570
2025-01,815,Storytelling com Dados para Comunicação Profissional de Sucesso,108
2025-01,861,Inteligência Artificial para simplificar o dia a dia,283
2025-01,956,Inovando na Gestão de Projetos,135
2025-01,976,Introdução à Ciência de Dados - Conceitos e Ferramentas,57
2025-01,1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,77
2025-01,1088,A História da IA,224
2025-01,1090,Ética em IA,211
2025-01,1091,Inteligência Artificial Generativa,393
2025-01,1139,Colaboração com o Microsoft 365,37
2025-01,1153,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls,80
2025-01,1167,IA Generativo da Microsoft - Copilot,272
2025-01,1263,Governo Data-Driven: transformação orientada por dados em governos,12
2025-01,1304,Visão Geral da IA no Azure,36
2025-01,1305,Fundamentos da Visão Computacional - IA do Azure,72
2025-01,1328,Processamento de Linguagem Natural,49
2025-02,107,Planejamento Estratégico para Organizações Públicas,109
2025-02,153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,148
2025-02,270,Governança de Dados,57
2025-02,290,Proteção de Dados Pessoais no Setor Público,174
2025-02,343,Planejamento da Contratação de Soluções de TIC,11
2025-02,367,Novas Tecnologias para a Transformação Digital,205
2025-02,373,Liderança e Gestão De Equipes,337
2025-02,377,Inteligência Artificial no Contexto do Serviço Público,404
2025-02,406,Análise de dados como suporte à tomada de decisão,83
2025-02,419,Transformação Digital no Serviço Público,121
2025-02,529,"Como implementar a LGPD: bases, mecanismos e processos",96
2025-02,534,Internet das coisas (IoT) aplicada para resolução de desafios,89
2025-02,536,Governança de Dados na Transformação Digital,49
2025-02,629,Aprendendo com Python,40
2025-02,724,Gestão de Riscos em Projetos de Transformação Digital,43
2025-02,787,Gestão de projetos,49
2025-02,797,Automação de Processos através da RPA para Transformação Digital,28
2025-02,802,Visualização de Dados Aplicada à Transformação Digital,43
2025-02,810,Desvendando a Inteligência Artificial na Administração Pública,492
2025-02,815,Storytelling com Dados para Comunicação Profissional de Sucesso,98
2025-02,861,Inteligência Artificial para simplificar o dia a dia,283
2025-02,956,Inovando na Gestão de Projetos,94
2025-02,976,Introdução à Ciência de Dados - Conceitos e Ferramentas,48
2025-02,1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,47
2025-02,1088,A História da IA,196
2025-02,1090,Ética em IA,165
2025-02,1091,Inteligência Artificial Generativa,264
2025-02,1139,Colaboração com o Microsoft 365,42
2025-02,1153,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls,66
2025-02,1167,IA Generativo da Microsoft - Copilot,209
2025-02,1263,Governo Data-Driven: transformação orientada por dados em governos,7
2025-02,1304,Visão Geral da IA no Azure,24
2025-02,1305,Fundamentos da Visão Computacional - IA do Azure,28
2025-02,1328,Processamento de Linguagem Natural,50
2025-03,107,Planejamento Estratégico para Organizações Públicas,110
2025-03,153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,178
2025-03,270,Governança de Dados,50
2025-03,290,Proteção de Dados Pessoais no Setor Público,118
2025-03,343,Planejamento da Contratação de Soluções de TIC,14
2025-03,367,Novas Tecnologias para a Transformação Digital,189
2025-03,373,Liderança e Gestão De Equipes,339
2025-03,377,Inteligência Artificial no Contexto do Serviço Público,401
2025-03,406,Análise de dados como suporte à tomada de decisão,121
2025-03,419,Transformação Digital no Serviço Público,85
2025-03,529,"Como implementar a LGPD: bases, mecanismos e processos",100
2025-03,534,Internet das coisas (IoT) aplicada para resolução de desafios,91
2025-03,536,Governança de Dados na Transformação Digital,55
2025-03,629,Aprendendo com Python,43
2025-03,724,Gestão de Riscos em Projetos de Transformação Digital,39
2025-03,787,Gestão de projetos,46
2025-03,797,Automação de Processos através da RPA para Transformação Digital,29
2025-03,802,Visualização de Dados Aplicada à Transformação Digital,46
2025-03,810,Desvendando a Inteligência Artificial na Administração Pública,396
2025-03,815,Storytelling com Dados para Comunicação Profissional de Sucesso,117
2025-03,861,Inteligência Artificial para simplificar o dia a dia,319
2025-03,956,Inovando na Gestão de Projetos,87
2025-03,976,Introdução à Ciência de Dados - Conceitos e Ferramentas,46
2025-03,1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,49
2025-03,1088,A História da IA,234
2025-03,1090,Ética em IA,226
2025-03,1091,Inteligência Artificial Generativa,376
2025-03,1139,Colaboração com o Microsoft 365,90
2025-03,1153,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls,41
2025-03,1167,IA Generativo da Microsoft - Copilot,217
2025-03,1263,Governo Data-Driven: transformação orientada por dados em governos,41
2025-03,1304,Visão Geral da IA no Azure,20
2025-03,1305,Fundamentos da Visão Computacional - IA do Azure,26
2025-03,1328,Processamento de Linguagem Natural,40
2025-04,107,Planejamento Estratégico para Organizações Públicas,114
2025-04,153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,159
2025-04,270,Governança de Dados,74
2025-04,290,Proteção de Dados Pessoais no Setor Público,115
2025-04,343,Planejamento da Contratação de Soluções de TIC,9
2025-04,367,Novas Tecnologias para a Transformação Digital,143
2025-04,373,Liderança e Gestão De Equipes,426
2025-04,377,Inteligência Artificial no Contexto do Serviço Público,411
2025-04,406,Análise de dados como suporte à tomada de decisão,101
2025-04,419,Transformação Digital no Serviço Público,50
2025-04,529,"Como implementar a LGPD: bases, mecanismos e processos",98
2025-04,534,Internet das coisas (IoT) aplicada para resolução de desafios,104
2025-04,536,Governança de Dados na Transformação Digital,49
2025-04,629,Aprendendo com Python,40
2025-04,724,Gestão de Riscos em Projetos de Transformação Digital,45
2025-04,787,Gestão de projetos,54
2025-04,797,Automação de Processos através da RPA para Transformação Digital,24
2025-04,802,Visualização de Dados Aplicada à Transformação Digital,33
2025-04,810,Desvendando a Inteligência Artificial na Administração Pública,374
